data,nome,tipo,valor
2014-12-17,Férias 15 dias (REF. JANEIRO 2015),Funcionário-Marivalda,-629.39
2014-12-18,DARF (REF. JANEIRO 2015),JB Contabilidade,-20.52
2014-12-18,JB Contabilidade (REF. JANEIRO 2015,JB Contabilidade,-362.0
2014-12-18,GPS (REF. JANEIRO 2015),JB Contabilidade,-367.37
2014-12-18,Salário (REF. JANEIRO 2015),Funcionário-Marivalda,-1158.07
2014-12-18,FGTS (REF. JANEIRO 2015),JB Contabilidade,-126.56
2015-01-05,Arcondicionado + luminárias,Compras,-2919.5
2015-01-05,Churrasqueira,Compras,-89.99
2015-01-12,Xerox,Aluguel,1448.0
2015-01-12,Lanchonete,Aluguel,4300.0
2015-01-15,Blusão + camiseta,Vendas,120.0
2015-01-19,Camiseta,Vendas,20.0
2015-01-20,Conta de Luz,Conta de Luz,-70.12
2015-01-20,Repasse (4 meses),Repasse Cherateria,-1000.0
2015-01-20,Vale,Funcionário-Marivalda,-500.0
2015-01-20,10 canecas,Vendas,50.0
2015-01-20,Marinalva (2 dias+ VT),Diaristas,-200.0
2015-01-21,Repasse,Repasse Atlética,-2740.0
2015-01-26,Camiseta,Vendas,20.0
2015-01-28,Livraria,Aluguel,800.0
2015-01-30,Marinalva (2 dias+ VT),Diaristas,-200.0
2015-01-30,1Caneca + caneta,Vendas,7.0
2015-02-02,2 Camisetas (Cartão),Vendas,40.0
2015-02-02,Camiseta (com defeito) (cartão),Vendas,10.0
2015-02-02,Chaveiro (cartão),Vendas,5.0
2015-02-03,Camiseta,Vendas,20.0
2015-02-03,Camiseta (promoção),Vendas,5.0
2015-02-04,Chaveiro ,Vendas,5.0
2015-02-04,Camiseta,Vendas,20.0
2015-02-04,Chaveiro,Vendas,5.0
2015-02-04,2 Camisetas (promoção),Vendas,10.0
2015-02-04,Camiseta,Vendas,20.0
2015-02-04,2 Canetas,Vendas,4.0
2015-02-04,3 Camisetas (promoção),Vendas,15.0
2015-02-04,2 Chaveiros,Vendas,10.0
2015-02-04,Camiseta,Vendas,20.0
2015-02-04,Caneca,Vendas,5.0
2015-02-05,DARF,JB Contabilidade,-18.81
2015-02-05,FGTS,JB Contabilidade,-95.77
2015-02-05,JB Contabilidade,JB Contabilidade,-394.0
2015-02-05,3 Chaveiros,Vendas,15.0
2015-02-05,Mouse (xerox),Compras,-13.5
2015-02-05,Material Limpeza,Material de Limpeza,-272.6
2015-02-05,Caneca,Vendas,5.0
2015-02-05,5 Camisetas,Vendas,100.0
2015-02-05,2 Camisetas,Vendas,40.0
2015-02-05,GPS,JB Contabilidade,-428.59
