0,1,2,3
0,id,created_time,message,story
1,440697006094380_641873499310062,2016-08-02T01:30:00+0000,"ASSEMBLEIA DE ESTUDANTES DA FÍSICA, QUINTA, ÀS 17H!
Compareçam! A presença de todo o corpo estudantil da física é muito importante para tomarmos decisões que representem a todos e todas nós!",Cefisma IFUSP shared Comando de Greve do Instituto de Física - USP's event.
2,440697006094380_629032827260796,2016-07-07T18:50:07+0000,"Hoje houve uma tentativa de furto de uma bicicleta que estava no estacionamento na frente da entrada da ALA I.
A segurança impediu e a PM levou a bicicleta para o 93 Dp -  Jaguaré.
Se souberem de quem é a bike, por favor, avisem para a pessoa onde ela está",
3,440697006094380_624404937723585,2016-06-27T12:24:18+0000,,Cefisma IFUSP shared Por que a USP não tem cotas?'s event.
4,440697006094380_622912291206183,2016-06-24T05:05:46+0000,HOJE!,Cefisma IFUSP shared Por que a USP não tem cotas?'s event.
5,440697006094380_10153459163187471,2016-06-07T20:37:11+0000,Cotas já! Pichação não.,David Tamayo added a new photo to Cefisma IFUSP's timeline — at Instituto de Física da USP.
6,440697006094380_1117236578341123,2016-06-06T15:05:19+0000,"Nova chamada para o curso ""Atividades educativas e a ampliação dos públicos de museus.""
Conteúdos:
- Panorama dos serviços educativos e do profissional de educação em museus no Brasil
- As diferentes atividades de mediação em museus
O Brasil vem passando por uma mudança significativa no que diz respeito ao número de visitantes de museus e instituições culturais. O atendimento ao público é a peça-chave para a ampliação do acesso. Mas o que conhecemos acerca dos serviços educativos das instituições brasileiras? Quais são as atividades educativas desenvolvidas e como atua o educador de museus? Neste curso teremos a oportunidade de analisar os dados mais recentes sobre a realidade brasileira, refletir sobre o papel do educador e a importância das atividades educativas para a qualidade da experiência do público ao visitar museus e exposições. O curso contará com palestras, atividades práticas e produção individual de conteúdos com avaliação por pares para obtenção de certificado.
Reserve as datas: 20 e 27 de junho das 10h às 17h
Local: Casa Azul próximo ao metrô Sumaré
Investimento: 
R$240,00 até 13 de junho
R$280,00 de 19 de junho

https://docs.google.com/forms/d/1MnsrsGAJ81AjleZYkZB2G0b4cFMOVrQE46HDMwJDsdE/viewform?edit_requested=true",
7,440697006094380_614867795343966,2016-06-05T22:14:39+0000,Que orgulho dessa bateria <3,Cefisma IFUSP shared Cherateria - Bateria Física-IAG-USP's post.
8,440697006094380_614312552066157,2016-06-04T17:03:16+0000,,Cefisma IFUSP shared ECAtlética's post.
9,440697006094380_613823435448402,2016-06-03T13:38:12+0000,,Cefisma IFUSP shared Comando de Greve do Instituto de Física - USP's photo.
10,440697006094380_613648152132597,2016-06-03T04:18:08+0000,,Cefisma IFUSP shared Comando de Greve do Instituto de Física - USP's post.
11,440697006094380_613505848813494,2016-06-02T18:17:06+0000,"Agora às 15h!
Roda de conversa com o professor Zanetic!",Cefisma IFUSP shared Comando de Greve do Instituto de Física - USP's post.
12,440697006094380_613465328817546,2016-06-02T16:09:01+0000,"SEGUNDA-FEIRA, 6/6 ÀS 17H
AUDITÓRIO ABRAHÃO DE MORAES 

TRAGAM CARTEIRINHA",Cefisma IFUSP shared Comando de Greve do Instituto de Física - USP's event.
13,440697006094380_253339695031746,2016-06-01T15:00:18+0000,,Cefisma IFUSP added an event.
14,440697006094380_613079475522798,2016-06-01T14:55:27+0000,https://www.facebook.com/events/1084825094909298/,Cefisma IFUSP shared Dce Livre da USP's event.
15,440697006094380_613041665526579,2016-06-01T13:36:16+0000,"Pessoal gostaria de saber se na assembleia de ontem, foi decidido se a greve e o piquete continuam?",
16,440697006094380_612759172221495,2016-05-31T22:48:04+0000,Acontecendo agora a assembleia dxs estudantes da Física,
17,440697006094380_612532105577535,2016-05-31T10:01:01+0000,,Cefisma IFUSP shared Comando de Greve do Instituto de Física - USP's photo.
18,440697006094380_612306705600075,2016-05-30T18:54:13+0000,,
19,440697006094380_612143695616376,2016-05-30T13:21:17+0000,RODA DE CONVERSA SOBRE A GREVE ACONTECENDO AGORA NA PASSARELA DA ALA CENTRAL! VENHAM DISCUTIR E EXPOR SUAS OPINIÕES!,
20,440697006094380_610257952471617,2016-05-26T05:02:27+0000,"PÁGINA DO COMANDO DE GREVE DA FÍSICA

https://www.facebook.com/comandodegreveif/",Cefisma IFUSP shared a page.
21,440697006094380_610239705806775,2016-05-26T04:07:01+0000,ATA DA ASSEMBLEIA DE ESTUDANTES DA FÍSICA DO DIA 24/05,Cefisma IFUSP published a note.
22,440697006094380_610100552487357,2016-05-25T18:53:48+0000,,Cefisma IFUSP shared Dce Livre da USP's photo.
23,440697006094380_610252105805535,2016-05-25T15:00:00+0000,,Cefisma IFUSP added 18 new photos to the album: 1ª Reunião do Comando de Greve da Física.
24,440697006094380_1784555755111723,2016-05-25T05:15:55+0000,,Cefisma IFUSP added an event.
25,440697006094380_609683279195751,2016-05-25T02:47:06+0000,"APÓS DIA DE PARALISAÇÃO E CONTANDO COM CERCA DE 200 PESSOAS, ASSEMBLEIA DE ESTUDANTES DA FÍSICA DELIBERA GREVE COM PIQUETE A PARTIR DE SEGUNDA-FEIRA (30/05)!

Ata em breve.",
26,440697006094380_450173725146708,2015-03-26T22:38:08+0000,"Aviso:
Amanhã o bandejão da física e o central não funcionarão por conta dos funcionários estarem sobrecarregados e trabalhando sob péssimas condições",
27,440697006094380_450155411815206,2015-03-26T21:12:48+0000,"BANDEJAÇO CONTRA FILAS E PELA PERMANÊNCIA ESTUDANTIL

Em ato realizado no bandeijão central estudantes da USP se manifestaram contra os diversos problemas relacionados à permanência estudantil causados pelos cortes financeiros que a reitoria vem tomando desde o ano passado. Foi rechaçada a superlotação dos bandeijões, a não abertura de vagas nas creches e a pracarização do trabalho na universidade, uma vez que os funcionários continuam com o mesmo volume de trabalho apesar da diminuição de contratados.",
28,440697006094380_450103511820396,2015-03-26T18:15:30+0000,"NOTA DE REPÚDIO À DEPREDAÇÃO DOS CARTAZES

Na madrugada do sábado, dia 21/03, cartazes do Coletivo de Mulheres Sonja Ashauer e da Casa de Libra (grupo LGBT do Instituto de Física) foram indiscriminadamente RASGADOS, DERRUBADOS, PISOTEADOS, PIXADOS E ROUBADOS. O ato foi gravado e temos as imagens. Nós do Cefisma repudiamos fortemente essa ação por acreditarmos que é fundamental garantir a liberdade de expressão e posicionamento político, principalmente aos grupos minoritários que estão lutando pelos seus espaços, que lhes são diariamente negados pelo Intituto de Física, pela USP e pela sociedade.
Defendemos o direito de todos se manifestarem, mas não de forma opressora, repressora e disciminatória. Pedimos que a comunidade entenda a gravidade desses atos e impeça que novos aconteçam.

Centro Acadêmico da Física - Cefisma",
