,word,word_count
18,para,384
4,física,154
2,estudantes,121
109,como,109
118,mais,88
120,sobre,85
303,cefisma,80
160,https,61
180,feira,55
349,ifusp,53
23,todos,52
326,pelo,51
270,universidade,50
286,mulheres,49
292,instituto,49
716,isso,48
0,assembleia,46
188,facebook,42
938,também,41
382,será,39
319,estão,39
272,mesmo,39
241,pela,39
221,pessoas,39
25,todas,38
239,contra,37
899,espaço,36
886,diretor,36
942,graduação,36
58,está,36
896,nome,35
646,esse,34
897,alunos,34
572,sala,33
611,gente,33
227,amanhã,33
1328,ensino,32
642,parte,32
370,evento,31
17,importante,31
1720,professores,31
1212,nossa,31
630,entre,31
50,quem,31
1443,prédio,30
256,reitoria,29
14,estudantil,29
16,muito,28
701,nosso,28
706,além,28
321,seus,27
866,você,27
765,escolas,27
540,movimento,27
568,cada,26
790,congregação,25
64,nova,25
207,suas,25
556,reunião,24
682,http,24
189,events,24
442,processo,24
2723,mulher,23
573,estudos,23
747,vocês,23
337,comunidade,23
67,atividades,23
1724,pesquisa,23
1007,aqui,23
191,pessoal,23
11,todo,22
406,luta,22
182,auditório,22
1294,paulo,22
1215,geral,22
79,educação,22
412,assim,22
665,armários,22
1160,debate,21
1183,comissão,21
431,novo,21
293,foram,21
1039,dias,21
301,temos,21
345,centro,21
535,apoio,21
596,fazer,20
37,frente,20
865,caso,20
56,onde,20
925,ainda,20
1564,eleições,20
285,coletivo,19
173,agora,19
267,creches,19
989,durante,18
513,semana,18
346,acadêmico,18
450,sendo,18
377,estamos,18
365,situação,18
217,paralisação,18
176,conversa,18
763,anos,17
478,sugestões,17
66,curso,17
27,hoje,17
203,central,17
862,então,17
558,vivência,17
674,serão,17
258,desde,17
231,funcionários,17
2615,festa,17
608,outros,16
81,brasil,16
1578,pois,16
892,discussão,16
5,quinta,16
768,seja,16
415,nesse,16
972,esta,16
205,discutir,16
947,este,15
2600,votos,15
1599,representantes,15
1361,quando,15
818,nossos,15
1222,atual,15
1223,ocupação,15
512,depois,15
502,aberta,15
149,próximo,15
368,segue,15
781,qual,15
287,sonja,14
288,ashauer,14
41,segurança,14
306,essa,14
621,área,14
175,roda,14
1618,outras,14
1833,armário,14
623,secretaria,14
656,vamos,14
545,aluno,14
710,pode,14
884,festas,14
390,atlética,14
471,lanchonete,14
381,participar,14
369,link,14
756,disso,13
1827,resultado,13
1051,primeiro,13
2073,vários,13
362,docentes,13
659,dentro,13
1480,eleição,13
328,sociedade,13
1076,deve,13
585,podem,13
1695,youtube,13
2221,mobilização,13
1153,congresso,13
72,museus,13
209,página,13
122,brasileira,13
146,local,13
661,alguns,12
671,necessário,12
10,presença,12
265,vagas,12
1145,informações,12
1030,quarta,12
393,2015,12
515,encontro,12
322,espaços,12
1565,chapa,12
254,cortes,12
402,diversas,12
738,abaixo,12
771,apenas,12
1366,proposta,12
1242,aula,12
464,menos,12
1201,licenciatura,12
90,respeito,12
332,forma,12
2257,marcos,12
633,ciências,12
249,problemas,12
179,segunda,12
496,livros,12
216,após,12
909,aulas,11
906,muitos,11
2398,devem,11
363,bolsas,11
855,eles,11
599,melhor,11
2531,corte,11
1696,watch,11
667,período,11
1133,escola,11
436,pautas,11
543,ajudar,11
1969,terça,11
1896,qualquer,11
1482,membros,11
1072,sorteio,11
477,queremos,11
1419,projeto,11
2254,ciência,11
1496,sempre,11
242,permanência,11
422,divulgação,11
38,entrada,11
253,pelos,11
1263,sexta,11
903,porque,11
1334,pública,11
590,mail,11
4199,chapas,11
1784,estado,11
1388,2016,10
1080,quer,10
1241,estavam,10
429,ocorrerá,10
92,número,10
2994,gestão,10
704,falta,10
745,pelas,10
735,algumas,10
905,horário,10
918,elas,10
1038,três,10
3068,escolha,10
380,todes,10
55,pessoa,10
1265,texto,10
1777,universitária,10
952,política,10
457,muitas,10
1502,relação,10
844,doação,10
269,trabalho,10
2377,quanto,10
796,faculdade,10
1481,porém,10
290,grupo,10
1194,primeira,10
200,acontecendo,10
204,venham,10
2963,prof,10
367,defesa,10
170,dessa,10
1396,documento,10
1005,beijos,9
348,concentração,9
2623,casos,9
3101,nomes,9
564,tipo,9
533,possam,9
553,creche,9
1225,junto,9
529,informar,9
737,problema,9
193,saber,9
668,inscrições,9
53,favor,9
277,nota,9
664,inscrição,9
97,público,9
197,greve,9
2216,secundaristas,9
1819,jafet,9
194,ontem,9
902,participação,9
33,estava,9
28,houve,9
501,caixa,9
3647,salas,9
804,esses,9
1669,arqueologia,9
3700,fref,9
230,conta,9
2651,machismo,9
420,seria,9
228,bandejão,9
330,direito,9
225,breve,9
995,nessa,9
1921,cursinho,9
260,passado,9
473,livraria,8
779,tentar,8
1264,outubro,8
830,lugar,8
792,poder,8
815,possibilidade,8
1492,achamos,8
769,dois,8
445,feito,8
2716,cultura,8
522,objetivo,8
1816,data,8
427,café,8
1249,entidades,8
2649,machista,8
1485,biblioteca,8
223,partir,8
472,xerox,8
1670,márcia,8
1650,fflch,8
113,teremos,8
580,salinhas,8
1449,disse,8
3270,estupro,8
1055,segundo,8
1613,cursos,8
1982,alckmin,8
955,instituição,8
310,garantir,8
184,moraes,8
1648,filosofia,8
13,corpo,8
2388,estudantis,8
908,estar,8
1569,temas,8
1635,primavera,8
1634,tudo,8
1630,governador,8
124,papel,8
2196,geraldo,8
1367,nacional,8
951,nenhuma,8
117,dados,8
1989,cima,8
136,avaliação,8
1233,polícia,8
725,crianças,8
177,professor,8
60,cotas,8
849,alguém,8
4412,estágios,8
935,atualmente,8
2003,manifestantes,8
352,haverá,8
100,acesso,8
2199,ocupações,8
1414,antes,8
1600,discentes,8
3425,elisa,8
1879,minha,7
2169,vítimas,7
615,campanha,7
628,final,7
2289,toda,7
1044,palestra,7
2349,última,7
3744,ocupadas,7
1050,livre,7
669,duplas,7
531,através,7
521,diálogo,7
2552,organizado,7
724,novas,7
552,feminista,7
2045,havia,7
103,acerca,7
147,casa,7
567,coisas,7
750,reitor,7
699,aumento,7
697,campus,7
2085,dava,7
1058,claro,7
1490,portanto,7
1077,entrar,7
588,mínimo,7
1474,votação,7
437,licitação,7
1105,programação,7
383,feita,7
1818,adma,7
3050,pontos,7
162,google,7
1789,momento,7
800,essas,7
401,país,7
854,hospital,7
1261,adusp,7
1845,ajuda,7
440,tirar,7
394,presentes,7
1549,delegades,7
1684,outro,7
3073,lista,7
248,diversos,7
3528,barraca,7
466,devemos,7
1579,assuntos,7
1235,tendo,7
1169,demais,7
314,político,7
794,conselho,7
3398,maneira,7
2955,eleitoral,7
1192,acontecerá,7
549,carta,6
1548,urna,6
