date	title	amount	datevalue
2015-06-16	Rei das Batidas	55.55	42171
2015-06-16	Central Café - Metro Butantã	14.00	42171
2015-06-16	Pense Farma	17.99	42171
2015-06-17	Mercadopago Mlivre 1/6	6.52	42172
2015-06-18	Central Café - Metro Butantã	12.50	42173
2015-06-18	Subway	24.75	42173
2015-06-18	Pizarria San Remy	35.90	42173
2015-06-18	Doces Santa Rita	5.45	42173
2015-06-18	Lirio de Prata	6.50	42173
2015-06-18	Auto Posto Tambau	2.50	42173
2015-06-20	Materiais Bergamini	50.80	42175
2015-06-20	Mercadopago Mlivre 1/5	6.81	42175
2015-06-23	Minimercado Lj	8.94	42178
2015-06-23	Jja Serralheria	10.00	42178
2015-06-23	Central Café - Metro Butantã	12.50	42178
2015-06-23	Ciclo Felline 1/3	48.34	42178
2015-06-26	Varejao Bonfiglioli	48.75	42181
2015-06-27	Lirio de Prata	35.05	42182
2015-06-27	Tias do IF	5.00	42182
2015-06-30	Clara Refeicoes	38.00	42185
2015-06-30	Mc Donalds Av Fco Mto	9.50	42185
2015-06-30	Fufu Lia	12.50	42185
2015-07-01	Varejao Bonfiglioli	68.67	42186
2015-07-02	Madero Eldorado	48.40	42187
2015-07-02	Ke Supimpa	7.50	42187
2015-07-02	Lanchonete da Fisica	13.40	42187
2015-07-04	Super Hot Dog	19.50	42189
2015-07-07	Beijinho Doce	10.00	42192
2015-07-07	Rpf Lanches	47.00	42192
2015-07-07	Alimentos Andinos	23.00	42192
2015-07-07	Silvio S Bispo Santos	66.70	42192
2015-07-07	Jacqueline A Pereira	23.00	42192
2015-07-08	Cinemark Eldorado	15.00	42193
2015-07-09	Extrinha	2.79	42194
2015-07-09	Lirio de Prata	32.50	42194
2015-07-10	Bem Estar	9.00	42195
2015-07-10	Bolix	4.00	42195
2015-07-10	Burger King Raposo Sho	4.00	42195
2015-07-10	Burger King Raposo Sho	21.50	42195
2015-07-10	Bolix	15.00	42195
2015-07-10	Recarga Tim	18.00	42195
2015-07-14	Lirio de Prata	16.35	42199
2015-07-14	Minimercado Lj	39.59	42199
2015-07-15	Pagamento recebido	-605.82	42200
2015-07-16	Ciclo Felline 2/3	48.33	42201
2015-07-16	Mercadopago Mlivre 2/5	6.79	42201
2015-07-16	Mercadopago Mlivre 2/6	6.52	42201
2015-07-17	Decathlon Raposo	28.15	42202
2015-07-18	Maoz	48.00	42203
2015-07-21	Cinemark Eldorado	34.00	42206
2015-07-22	Netflix Com	22.90	42207
2015-07-23	Kfc	32.00	42208
2015-07-23	Saraiva Eldorado	37.80	42208
2015-07-24	Ciclo Felline 1/3	74.34	42209
2015-07-24	Imperio Dogs	31.40	42209
2015-07-25	Barraca do Juca	118.50	42210
2015-07-25	Comercial Marukai	19.30	42210
2015-07-28	Drogasil	9.83	42213
2015-07-28	Minimercado Lj	13.51	42213
2015-07-28	Subway Shop Tatuape	14.00	42213
2015-07-28	Shop Ig Sup Irmaos Gon	4.19	42213
2015-07-28	Sg Supermercados	6.82	42213
2015-07-28	Lirio de Prata	6.00	42213
2015-07-28	Solution Administracao	35.00	42213
2015-07-28	Jair Rossi Frota	18.00	42213
2015-07-29	Dez Pasteis Ariquemes	4.00	42214
2015-07-29	Casa das Biciclet 1/3	57.34	42214
2015-07-29	Auto Posto Douradao	11.02	42214
2015-07-30	Recarga Tim	20.00	42215
2015-08-01	Inajara de Souza	12.00	42217
2015-08-01	Anderson Alves Quadros	28.00	42217
2015-08-02	Mega Burguer Ariquemes	24.00	42218
2015-08-02	Anderson Alves Quadros Ariquemes	16.00	42218
2015-08-02	Mega Burguer Ariquemes	4.50	42218
2015-07-20	Estorno de "Netflix Com"	-22.90	42205
2015-08-05	Lanchonete Biglanche	3.00	42221
2015-08-06	Juninho Soft Cafe	8.00	42222
2015-08-07	Eucatur 1/10	13.10	42223
2015-08-08	Shop Ig Sup Irmaos Gon	6.20	42224
2015-08-08	Shop Ig Sup Irmaos Gon	2.57	42224
2015-08-08	Pagseguro 1/3	16.68	42224
2015-08-08	Lanchonete Capital do	7.00	42224
2015-08-11	Minimercado Lj	16.58	42227
2015-08-11	Minimercado Lj	37.45	42227
