p	sp	L	sL	B	sB	S	sS
200	0	368.0333333	0.7123903424	0.9556	0.0525	1.1491	0.0345
220	0	368.0333333	0.7123903424	0.9556	0.0525	1.1491	0.0345
240	0	368.0333333	0.7123903424	0.9556	0.0525	1.1491	0.0345
260	0	368.0333333	0.7123903424	0.9556	0.0525	1.1491	0.0345
280	0	368.0333333	0.7123903424	0.9556	0.0525	1.1491	0.0345
300	0	368.0333333	0.7123903424	0.9556	0.0525	1.1491	0.0345
320	0	368.0333333	0.7123903424	0.9556	0.0525	1.1491	0.0345
340	0	368.0333333	0.7123903424	0.9556	0.0525	1.1491	0.0345
360	0	368.0333333	0.7123903424	0.9556	0.0525	1.1491	0.0345
380	0	368.0333333	0.7123903424	0.9556	0.0525	1.1491	0.0345
400	0	368.0333333	0.7123903424	0.9556	0.0525	1.1491	0.0345
200	0	0	0	0.9556	0.0525	1.1491	0.0345
200	0	74.54	0.1424780685	0.9556	0.0525	1.1491	0.0345
200	0	149.08	0.1424780685	0.9556	0.0525	1.1491	0.0345
200	0	223.62	0.1424780685	0.9556	0.0525	1.1491	0.0345
200	0	298.16	0.1424780685	0.9556	0.0525	1.1491	0.0345
200	0	372.7	0.1424780685	0.9556	0.0525	1.1491	0.0345
