Set	Run #1	Run #1
User Data 1 (units)	Time (s)	Light Intensity (%)
0	1,124	40,2645996094
10	6,120	43,1747558594
20	10,158	44,3856933594
30	13,837	41,1190917969
40	15,788	40,5478027344
50	18,677	38,2675292969
60	21,997	34,0780761719
70	25,185	31,0214355469
80	28,986	25,8505371094
90	32,824	22,8427246094
100	36,718	20,1718261719
110	40,599	18,8974121094
120	43,637	19,2587402344
130	47,779	20,7479980469
140	51,586	24,4735839844
150	54,744	28,0233886719
160	58,220	32,6669433594
170	61,671	36,5243652344
180	65,120	38,9853027344
190	68,999	42,0907714844
200	72,511	42,9208496094
210	75,600	44,3075683594
220	78,627	40,9921386719
230	81,447	38,6728027344
240	84,294	34,7470214844
250	87,934	31,1483886719
260	91,838	26,7440917969
270	94,995	22,7841308594
280	98,015	19,8446777344
290	101,506	19,2636230469
300	104,401	19,2782714844
310	107,314	21,4364746094
320	110,863	24,4833496094
330	113,920	28,5067871094
340	116,980	33,1405761719
350	120,356	36,9735839844
360	122,870	41,3192871094
