Set	Set	Set	Run #1	Run #1	Run #2	Run #2
Polarizador 1 (units)	User Data 2 (units)	Polarizador 2 (units)	Time (s)	Light Intensity (%)	Time (s)	Light Intensity (%)
0		110	25,850	5,1140625000		
0		291	50,783	4,9138671875		
20		272	77,834	2,5945312500		
20		92	97,577	2,3796875000		
40		72	140,435	3,5369140625		
40		252	158,729	3,7078125000		
60		48			29,308	1,8035156250
60		232			50,021	1,7253906250
80		202			93,909	1,9744140625
80		22			94,766	1,8962890625
100		7			119,539	1,5837890625
100		187			143,942	1,5740234375
120		172			198,981	5,3533203125
120		352			200,324	5,3435546875
140		328			288,465	17,7556640625
140		154			291,057	18,0144531250
160		128			359,543	17,9607421875
160		308			379,117	18,1414062500
180		288			417,420	4,8796875000
180		110			432,896	4,6453125000
200						
200						
220						
220						
240						
240						
260						
260						
280						
280						
300						
300						
320						
330						
340						
350						
360						
